yb	VVc	bD50	Fr	ysb	Source
2	0.894009217	16.6624	0.597087234	1.859756098	USGS
2	0.81875	33.3248	0.403187771	1.87804878	USGS
2	0.76875	33.3248	0.378565617	2.323170732	USGS
2	0.957446809	96.12923077	0.276999232	1.762195122	USGS
2	1.308510638	96.12923077	0.378565617	2.182926829	USGS
2	0.872340426	96.12923077	0.252377078	1.542682927	USGS
2	0.785714286	192.2584615	0.20313277	1.56097561	USGS
2	0.892857143	192.2584615	0.230832693	1.719512195	USGS
2	0.976190476	192.2584615	0.252377078	1.62195122	USGS
4	0.536312849	33.3248	0.208925904	1.37804878	USGS
4	0.776536313	33.3248	0.302507299	1.902439024	USGS
4	0.620111732	33.3248	0.241570577	1.963414634	USGS
4	0.687150838	33.3248	0.267686315	2.140243902	USGS
4	0.642458101	33.3248	0.250275823	2.481707317	USGS
4	0.769230769	96.12923077	0.17410492	1.597560976	USGS
4	1.144230769	96.12923077	0.258981069	2.37804878	USGS
4	0.884615385	96.12923077	0.200220658	1.93902439	USGS
4	1.028846154	96.12923077	0.232865331	2.042682927	USGS
4	0.608695652	192.2584615	0.121873444	1.518292683	USGS
4	0.75	192.2584615	0.150165494	1.5	USGS
4	0.804347826	192.2584615	0.161047051	1.542682927	USGS
4	0.902173913	192.2584615	0.180633855	1.341463415	USGS
7	0.551546392	33.3248	0.176029644	2.280487805	USGS
7	0.634020619	33.3248	0.202351834	2.298780488	USGS
7	0.801801802	96.12923077	0.146417181	1.902439024	USGS
7	0.90990991	96.12923077	0.166158823	2.042682927	USGS
7	1.036036036	96.12923077	0.189190739	1.780487805	USGS
7	0.738738739	96.12923077	0.134901223	1.56097561	USGS
7	0.673469388	192.2584615	0.108579033	1.420731707	USGS
7	0.734693878	192.2584615	0.118449854	1.402439024	USGS
7	0.602040816	192.2584615	0.097063075	1.359756098	USGS
1.333333333	0.957446809	144.1938462	0.276999232	1.479674797	USGS
1.333333333	1.308510638	144.1938462	0.378565617	1.532520325	USGS
1.333333333	0.872340426	144.1938462	0.252377078	1.199186992	USGS
1.333333333	0.785714286	288.3876923	0.20313277	1	USGS
1.333333333	0.892857143	288.3876923	0.230832693	1.199186992	USGS
1.333333333	0.976190476	288.3876923	0.252377078	1.215447154	USGS
2.666666667	0.769230769	144.1938462	0.17410492	1.520325203	USGS
2.666666667	1.144230769	144.1938462	0.258981069	1.707317073	USGS
2.666666667	0.884615385	144.1938462	0.200220658	1.467479675	USGS
2.666666667	1.028846154	144.1938462	0.232865331	1.573170732	USGS
2.666666667	0.608695652	288.3876923	0.121873444	1.040650407	USGS
2.666666667	0.75	288.3876923	0.150165494	1.321138211	USGS
2.666666667	0.804347826	288.3876923	0.161047051	1.333333333	USGS
2.666666667	0.902173913	288.3876923	0.180633855	1.25203252	USGS
4.666666667	0.801801802	144.1938462	0.146417181	1.491869919	USGS
4.666666667	0.90990991	144.1938462	0.166158823	1.573170732	USGS
4.666666667	1.036036036	144.1938462	0.189190739	1.642276423	USGS
4.666666667	0.738738739	144.1938462	0.134901223	1.479674797	USGS
4.666666667	0.673469388	288.3876923	0.108579033	1.292682927	USGS
4.666666667	0.734693878	288.3876923	0.118449854	1.215447154	USGS
4.666666667	0.602040816	288.3876923	0.097063075	0.959349593	USGS
1	0.894009217	33.3248	0.597087234	1.460365854	USGS
1	0.81875	66.6496	0.403187771	1.490853659	USGS
1	0.76875	66.6496	0.378565617	1.56097561	USGS
1	0.957446809	192.2584615	0.276999232	1.219512195	USGS
1	1.308510638	192.2584615	0.378565617	1.329268293	USGS
1	0.872340426	192.2584615	0.252377078	1.131097561	USGS
1	0.785714286	384.5169231	0.20313277	1.079268293	USGS
1	0.892857143	384.5169231	0.230832693	1.070121951	USGS
1	0.976190476	384.5169231	0.252377078	1.030487805	USGS
2	0.536312849	66.6496	0.208925904	1.021341463	USGS
2	0.776536313	66.6496	0.302507299	1.740853659	USGS
2	0.620111732	66.6496	0.241570577	1.679878049	USGS
2	0.687150838	66.6496	0.267686315	1.661585366	USGS
2	0.642458101	66.6496	0.250275823	1.911585366	USGS
2	0.769230769	192.2584615	0.17410492	1.368902439	USGS
2	1.144230769	192.2584615	0.258981069	1.490853659	USGS
2	0.884615385	192.2584615	0.200220658	1.31097561	USGS
2	1.028846154	192.2584615	0.232865331	1.43902439	USGS
2	0.608695652	384.5169231	0.121873444	0.920731707	USGS
2	0.75	384.5169231	0.150165494	1.048780488	USGS
2	0.804347826	384.5169231	0.161047051	1.091463415	USGS
2	0.902173913	384.5169231	0.180633855	1.091463415	USGS
3.5	0.551546392	66.6496	0.176029644	1.911585366	USGS
3.5	0.634020619	66.6496	0.202351834	1.969512195	USGS
3.5	0.801801802	192.2584615	0.146417181	1.271341463	USGS
3.5	0.90990991	192.2584615	0.166158823	1.320121951	USGS
3.5	1.036036036	192.2584615	0.189190739	1.399390244	USGS
3.5	0.738738739	192.2584615	0.134901223	1.368902439	USGS
3.5	0.673469388	384.5169231	0.108579033	1.131097561	USGS
3.5	0.734693878	384.5169231	0.118449854	1.131097561	USGS
3.5	0.602040816	384.5169231	0.097063075	0.981707317	USGS
0.666666667	0.894009217	49.9872	0.597087234	1.31300813	USGS
0.666666667	0.81875	99.9744	0.403187771	1.18699187	USGS
0.666666667	0.76875	99.9744	0.378565617	1.400406504	USGS
1.333333333	0.536312849	99.9744	0.208925904	0.979674797	USGS
1.333333333	0.776536313	99.9744	0.302507299	1.447154472	USGS
1.333333333	0.620111732	99.9744	0.241570577	1.414634146	USGS
1.333333333	0.687150838	99.9744	0.267686315	1.386178862	USGS
1.333333333	0.642458101	99.9744	0.250275823	1.506097561	USGS
2.333333333	0.551546392	99.9744	0.176029644	1.552845528	USGS
2.333333333	0.634020619	99.9744	0.202351834	1.573170732	USGS
1.964071856	1.369047619	212.09	0.353943463	1.101796407	USGS
1.964071856	1.952380952	212.09	0.504754156	1.317365269	USGS
1.964071856	2.535714286	212.09	0.655564849	1.568862275	USGS
